time,price,nav
2020-01-10,968.54,40703.68
2020-01-13,965.84,40982.55
2020-01-14,967.0,40848.37
2020-01-15,967.56,40948.61
2020-01-16,974.31,40956.77
2020-01-17,978.96,41298.5
2020-01-20,978.63,41442.16
2020-01-21,986.37,41738.34
2020-01-22,991.46,41888.9
2020-01-30,959.58,42117.82
2020-01-31,936.62,40901.7
2020-02-03,928.14,39954.12
2020-02-04,929.09,39676.46
2020-02-05,925.91,39793.12
2020-02-06,938.54,39779.92
2020-02-07,940.75,40407.53
2020-02-10,930.73,40307.46
2020-02-11,934.67,39804.46
2020-02-12,937.68,40028.66
2020-02-13,938.24,40425.4
2020-02-14,937.45,40426.99
2020-02-17,934.77,40468.01
2020-02-18,927.93,40454.49
2020-02-19,928.76,40607.53
2020-02-20,938.13,40741.26
2020-02-21,933.09,40952.86
2020-02-24,903.34,40661.05
2020-02-25,909.67,39292.75
2020-02-26,895.97,39817.19
2020-02-27,898.44,39511.28
2020-02-28,882.19,39829.38
2020-03-02,884.43,39230.4
2020-03-03,890.61,39342.68
2020-03-04,889.37,39618.2
2020-03-05,893.31,39515.79
2020-03-06,891.44,39522.26
2020-03-09,835.49,39333.57
2020-03-10,837.5,37063.91
2020-03-11,811.35,37168.84
2020-03-12,769.25,35956.56
2020-03-13,761.78,34154.75
2020-03-16,747.86,33816.57
2020-03-17,745.78,32986.94
2020-03-18,747.66,33193.31
2020-03-19,725.94,33299.35
2020-03-20,709.73,32555.57
2020-03-23,666.59,32237.23
2020-03-24,659.21,30578.52
2020-03-25,690.25,30381.69
2020-03-26,694.21,31416.3
2020-03-27,696.06,31139.19
2020-03-30,662.26,30824.98
2020-03-31,662.53,29779.52
2020-04-01,680.23,29764.94
2020-04-03,701.8,30470.51
2020-04-06,736.75,31303.93
2020-04-07,746.69,32622.84
2020-04-08,748.02,33052.65
2020-04-09,760.33,33046.54
2020-04-10,757.94,33305.29
2020-04-13,765.79,33097.37
2020-04-14,767.41,33435.83
2020-04-15,777.22,33641.76
2020-04-16,780.7,34103.52
2020-04-17,789.6,34185.6
2020-04-20,794.97,34685.57
2020-04-21,766.84,34927.11
2020-04-22,768.92,33786.57
2020-04-23,773.91,34224.95
2020-04-24,776.66,34342.14
2020-04-27,770.77,34429.33
2020-04-28,767.21,34349.0
2020-04-29,769.11,34241.51
2020-05-04,762.47,34371.79
2020-05-05,764.16,34029.55
2020-05-06,782.59,34154.47
2020-05-07,796.54,34756.97
2020-05-08,813.73,35274.91
2020-05-11,828.33,35761.53
2020-05-12,835.32,36291.34
2020-05-13,834.21,36551.91
2020-05-14,832.4,36774.76
2020-05-15,827.03,36501.17
2020-05-18,837.01,36216.27
2020-05-19,845.92,36825.41
2020-05-20,852.91,37286.6
2020-05-21,862.73,37428.78
2020-05-22,852.74,37682.07
2020-05-25,859.04,37319.04
2020-05-26,869.13,37770.66
2020-05-27,857.48,38275.8
2020-05-28,861.39,37552.51
2020-05-29,864.47,37754.58
2020-06-01,878.67,37922.07
2020-06-02,874.8,38680.07
2020-06-03,881.17,38329.14
2020-06-04,883.9,38782.59
2020-06-05,886.22,38826.46
2020-06-08,899.92,39019.58
2020-06-09,899.43,39638.4
2020-06-10,900.0,39424.39
2020-06-11,867.37,39519.35
2020-06-12,863.52,37920.83
